"","iliad.txt","odyssey.txt"
"aba",1,0
"abandon",2,2
"abandond",6,0
"abant",2,0
"abantian",1,0
"abashd",2,0
"abat",1,1
"abba",1,0
"abhor",2,1
"abhorrd",5,0
"abid",1,4
"abion",2,0
"abject",1,0
"abjur",1,0
"abl",7,35
"ablerus",1,0
"ablest",2,0
"ablut",1,0
"abod",38,12
"abound",1,6
"abridg",1,1
"abroad",4,4
"absenc",10,21
"absencelong",1,0
"absent",9,3
"absolut",2,1
"absorb",1,0
"abstain",3,0
"abstemi",1,0
"absurd",5,5
"abus",3,2
"abydo",3,0
"abyss",4,0
"acama",8,0
"accent",9,0
"accept",22,10
"access",15,12
"accid",2,0
"acciden",1,0
"accident",2,1
"acclaim",6,0
"acclam",3,0
"accommod",1,1
"accompani",9,3
"accomplish",4,10
"accord",24,16
"accost",4,0
"account",20,22
"accumul",2,0
"accur",2,2
"accurs",9,0
"accus",4,0
"accustom",1,2
"accustomd",1,0
"ach",1,1
"achaia",2,0
"achaian",16,0
"achel",2,0
"achiev",3,0
"achill",418,18
"achillei",1,0
"achilleid",1,0
"achilleisgrot",1,0
"achreoin",1,0
"acknowledg",6,0
"acquaint",7,4
"acquiesc",1,1
"acquir",8,0
"acquisitiongrot",1,0
"acr",3,3
"across",8,5
"act",42,4
"actaea",1,0
"action",32,1
"actionth",1,0
"activ",24,2
"actor",6,1
"actual",4,8
"acumen",1,0
"acut",3,0
"acutenesswhich",1,0
"adam",3,0
"adama",1,0
"adamantin",4,0
"add",22,5
"addison",1,0
"addit",13,12
"address",10,10
"addressd",41,0
"adher",1,1
"adject",1,0
"adjoin",2,0
"adjournd",1,0
"adjudg",1,0
"adjur",5,0
"admetus",1,0
"admir",29,22
"admiss",2,0
"admit",13,3
"admitt",1,1
"admonishd",1,0
"adopt",5,4
"ador",14,1
"adord",1,0
"adorn",19,3
"adornd",12,0
"adourn",1,0
"adown",1,0
"adramyttium",1,0
"adrastus",6,0
"adrestia",1,0
"adrestus",1,0
"adult",1,0
"adulter",2,0
"adv",1,0
"advanc",40,0
"advantag",6,7
"adventur",7,6
"advers",13,0
"adversari",1,0
"advic",25,5
"advis",19,8
"advoc",1,0
"aeacid",2,0
"aeacus",1,1
"aecha",1,0
"aedeto",1,0
"aedio",1,0
"aega",3,1
